time,open,high,low,close,BuyLine,Buy,Sell,Buy Label,Sell Label
2025-03-02T20:00:00-03:00,21000,21008,20963.5,20988.5,NaN,NaN,NaN,NaN,NaN
2025-03-02T20:05:00-03:00,20987.75,21036,20983.25,21034,20975.5875,NaN,NaN,NaN,NaN
2025-03-02T20:10:00-03:00,21034,21034.5,21015.75,21030.75,21001.54375,NaN,NaN,NaN,NaN
2025-03-02T20:15:00-03:00,21030.75,21030.75,21008.25,21011,21001.54375,NaN,NaN,NaN,NaN
2025-03-02T20:20:00-03:00,21010.75,21013.25,20986.25,20998,21019.0328125,NaN,21019.0328125,NaN,21022.7921875
2025-03-02T20:25:00-03:00,20997.25,21020.25,20981.25,20996,21019.0328125,NaN,NaN,NaN,NaN
2025-03-02T20:30:00-03:00,20995.5,21009.25,20986,20996.5,21017.408203125,NaN,NaN,NaN,NaN
2025-03-02T20:35:00-03:00,20996.25,21004.5,20981.5,20989.75,21010.9416015625,NaN,NaN,NaN,NaN
2025-03-02T20:40:00-03:00,20990,20998.25,20976.25,20989.5,21003.92080078125,NaN,NaN,NaN,NaN
2025-03-02T20:45:00-03:00,20989.25,21003,20966.5,20971.5,21003.92080078125,NaN,NaN,NaN,NaN
2025-03-02T20:50:00-03:00,20971.5,20972.25,20949,20956.5,20979.31770019531,NaN,NaN,NaN,NaN
2025-03-02T20:55:00-03:00,20956.25,20971.75,20953.75,20968.75,20978.396350097657,NaN,NaN,NaN,NaN
2025-03-02T21:00:00-03:00,20968.5,20971.75,20926.75,20936,20972.823175048827,NaN,NaN,NaN,NaN
2025-03-02T21:05:00-03:00,20936.25,20946.25,20923,20942,20954.549087524414,NaN,NaN,NaN,NaN
2025-03-02T21:10:00-03:00,20942,20944.5,20897.5,20897.75,20947.412043762208,NaN,NaN,NaN,NaN
2025-03-02T21:15:00-03:00,20897.75,20904,20850.25,20875.25,20909.143521881102,NaN,NaN,NaN,NaN
2025-03-02T21:20:00-03:00,20876,20892.25,20874,20882.5,20905.52176094055,NaN,NaN,NaN,NaN
2025-03-02T21:25:00-03:00,20883.25,20891,20875.5,20881.25,20899.873380470275,NaN,NaN,NaN,NaN
2025-03-02T21:30:00-03:00,20881.75,20890.5,20862.75,20882.75,20894.649190235137,NaN,NaN,NaN,NaN
2025-03-02T21:35:00-03:00,20882,20882,20836.5,20876.75,20884.44959511757,NaN,NaN,NaN,NaN
2025-03-02T21:40:00-03:00,20876.5,20894.75,20872,20887.5,20866.626619529725,20866.626619529725,NaN,NaN,NaN
2025-03-02T21:45:00-03:00,20888.25,20905.5,20883.75,20904.75,20876.73135122061,NaN,NaN,20881.74388014078,NaN
2025-03-02T21:50:00-03:00,20905,20907.5,20891,20896.75,20884.528175610303,NaN,NaN,NaN,NaN
2025-03-02T21:55:00-03:00,20896.5,20900.5,20872.25,20884.5,20903.623412194847,NaN,20903.623412194847,NaN,20906.676529964803
2025-03-02T22:00:00-03:00,20885.25,20912,20863.25,20900,20903.623412194847,NaN,NaN,NaN,NaN
2025-03-02T22:05:00-03:00,20900.5,20918.5,20893,20904,20883.981646951288,20883.981646951288,NaN,NaN,NaN
2025-03-02T22:10:00-03:00,20903.75,20911.25,20891.5,20897.5,20883.981646951288,NaN,NaN,NaN,NaN
2025-03-02T22:15:00-03:00,20898,20899,20881.5,20894.5,20883.981646951288,NaN,NaN,NaN,NaN
2025-03-02T22:20:00-03:00,20894.5,20904.5,20887.25,20903.5,20883.981646951288,NaN,NaN,NaN,NaN
2025-03-02T22:25:00-03:00,20903.25,20920.25,20899,20911.5,20895.412915434455,NaN,NaN,20893.2273198443,NaN
2025-03-02T22:30:00-03:00,20912,20916,20897.75,20910.75,20895.412915434455,NaN,NaN,NaN,NaN
2025-03-02T22:35:00-03:00,20911.25,20914.25,20889.75,20902,20895.412915434455,NaN,NaN,NaN,NaN
2025-03-02T22:40:00-03:00,20901,20903.5,20886.25,20903,20895.412915434455,NaN,NaN,NaN,NaN
2025-03-02T22:45:00-03:00,20902.25,20928.5,20894.25,20923.25,20895.412915434455,NaN,NaN,NaN,NaN
2025-03-02T22:50:00-03:00,20923.5,20940,20920.5,20938,20914.00665360733,NaN,NaN,NaN,NaN
2025-03-02T22:55:00-03:00,20938.5,20952.75,20936.75,20943.5,20931.028326803662,NaN,NaN,NaN,NaN
2025-03-02T23:00:00-03:00,20943.75,20953.75,20940.5,20946,20935.626663401832,NaN,NaN,NaN,NaN
2025-03-02T23:05:00-03:00,20946,20963,20940,20946,20937.700831700917,NaN,NaN,NaN,NaN
2025-03-02T23:10:00-03:00,20946.25,20952.75,20940.5,20948.75,20937.700831700917,NaN,NaN,NaN,NaN
2025-03-02T23:15:00-03:00,20949.75,20953,20939.75,20945.75,20937.700831700917,NaN,NaN,NaN,NaN
2025-03-02T23:20:00-03:00,20944,20947.5,20928,20937.25,20949.690521037384,NaN,20949.690521037384,NaN,NaN
2025-03-02T23:25:00-03:00,20937,20945.5,20927,20933.25,20948.695260518693,NaN,NaN,NaN,20949.25104923832
2025-03-02T23:30:00-03:00,20933,20938,20917.5,20932.75,20941.147630259347,NaN,NaN,NaN,NaN
2025-03-02T23:35:00-03:00,20932.5,20948,20932.5,20940,20941.147630259347,NaN,NaN,NaN,NaN
2025-03-02T23:40:00-03:00,20940.5,20943.5,20935,20938.5,20941.147630259347,NaN,NaN,NaN,NaN
2025-03-02T23:45:00-03:00,20938.75,20944.75,20930,20939.75,20941.147630259347,NaN,NaN,NaN,NaN
2025-03-02T23:50:00-03:00,20939.75,20955.75,20938.5,20950.75,20936.24702310879,20936.24702310879,NaN,20936.764029711303,NaN
2025-03-02T23:55:00-03:00,20950.5,20951.75,20923,20928.75,20952.876488445603,NaN,20952.876488445603,NaN,20948.68048514435
2025-03-03T00:00:00-03:00,20928.5,20934.25,20914.25,20924.25,20939.0007442228,NaN,NaN,NaN,NaN
2025-03-03T00:05:00-03:00,20923.75,20924.75,20905.75,20911.25,20929.275372111402,NaN,NaN,NaN,NaN
2025-03-03T00:10:00-03:00,20911.75,20915.5,20904,20905.25,20920.7876860557,NaN,NaN,NaN,NaN
2025-03-03T00:15:00-03:00,20905.75,20912.5,20900.25,20903,20916.18134302785,NaN,NaN,NaN,NaN
2025-03-03T00:20:00-03:00,20902.5,20914.75,20883.75,20886.5,20915.003171513927,NaN,NaN,NaN,NaN
2025-03-03T00:25:00-03:00,20886.5,20902.75,20885,20899.25,20907.96408575696,NaN,NaN,NaN,NaN
2025-03-03T00:30:00-03:00,20899,20908.25,20887.5,20903.5,20907.96408575696,NaN,NaN,NaN,NaN
2025-03-03T00:35:00-03:00,20903.75,20913,20901.5,20912.25,20896.07147856076,20896.07147856076,NaN,20897.877615292404,NaN
2025-03-03T00:40:00-03:00,20912,20914.75,20904.5,20907.5,20900.44823928038,NaN,NaN,NaN,NaN
2025-03-03T00:45:00-03:00,20907.25,20915.5,20906.75,20912.75,20903.47411964019,NaN,NaN,NaN,NaN
2025-03-03T00:50:00-03:00,20913,20922.25,20912.25,20918,20909.924559820094,NaN,NaN,NaN,NaN
2025-03-03T00:55:00-03:00,20917.5,20927.5,20917,20922.75,20914.912279910048,NaN,NaN,NaN,NaN
2025-03-03T01:00:00-03:00,20922.75,20932.25,20920,20925.75,20918.168639955024,NaN,NaN,NaN,NaN
2025-03-03T01:05:00-03:00,20926.25,20932,20920,20932,20918.168639955024,NaN,NaN,NaN,NaN
2025-03-03T01:10:00-03:00,20930.25,20943,20929.75,20940,20927.648409988757,NaN,NaN,NaN,NaN
2025-03-03T01:15:00-03:00,20939.75,20943.75,20935.5,20942,20932.37420499438,NaN,NaN,NaN,NaN
2025-03-03T01:20:00-03:00,20941.5,20948.5,20934,20944.25,20932.54960249719,NaN,NaN,NaN,NaN
2025-03-03T01:25:00-03:00,20944.5,20947.75,20938.75,20944.25,20935.749801248596,NaN,NaN,NaN,NaN
2025-03-03T01:30:00-03:00,20944,20945.5,20937,20941.5,20935.749801248596,NaN,NaN,NaN,NaN
2025-03-03T01:35:00-03:00,20941.5,20947,20936.25,20938,20935.749801248596,NaN,NaN,NaN,NaN
2025-03-03T01:40:00-03:00,20938,20946.5,20937.75,20944.75,20935.749801248596,NaN,NaN,NaN,NaN
2025-03-03T01:45:00-03:00,20943.25,20946,20940,20945.75,20937.587487578036,NaN,NaN,NaN,NaN
2025-03-03T01:50:00-03:00,20945.75,20948.5,20941.5,20942.75,20939.843743789017,NaN,NaN,NaN,NaN
2025-03-03T01:55:00-03:00,20943.5,20956,20943,20951.75,20942.284371894508,NaN,NaN,NaN,NaN
2025-03-03T02:00:00-03:00,20952,20962,20944.5,20958.5,20943.517185947254,NaN,NaN,NaN,NaN
2025-03-03T02:05:00-03:00,20958.75,20961.5,20946.75,20950.5,20944.09609297363,NaN,NaN,NaN,NaN
2025-03-03T02:10:00-03:00,20951,20964.75,20950.75,20962.75,20947.748046486813,NaN,NaN,NaN,NaN
2025-03-03T02:15:00-03:00,20962.25,20969.25,20960.25,20965.75,20956.599023243405,NaN,NaN,NaN,NaN
2025-03-03T02:20:00-03:00,20965.75,20972,20957.25,20971.5,20956.599023243405,NaN,NaN,NaN,NaN
2025-03-03T02:25:00-03:00,20971.5,20983.5,20968.75,20972,20966.34350581085,NaN,NaN,NaN,NaN
2025-03-03T02:30:00-03:00,20972,20983.75,20961.75,20982.25,20966.34350581085,NaN,NaN,NaN,NaN
2025-03-03T02:35:00-03:00,20982.25,20992,20980.5,20985,20975.929626452715,NaN,NaN,NaN,NaN
2025-03-03T02:40:00-03:00,20985.25,21002,20985,20992.5,20982.389813226357,NaN,NaN,NaN,NaN
